,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,predicted_sales
0,415,7,2015-03-01,0,False,False,0,False,0.0
1,27,7,2013-12-29,0,False,False,0,False,0.0
2,404,3,2014-03-19,657,True,True,0,False,5386.722
3,683,2,2013-01-29,862,True,False,0,False,7266.5415
4,920,3,2014-03-19,591,True,True,0,False,6159.916
5,758,4,2014-06-26,569,True,False,0,False,4102.534
6,563,1,2015-02-16,321,True,True,0,False,4204.633
7,930,6,2014-11-22,1367,True,False,0,False,8280.64
8,756,4,2015-06-04,0,False,True,a,False,0.0
9,49,2,2015-01-13,546,True,True,0,False,7242.421
10,787,4,2015-07-23,968,True,False,0,True,7763.3965
11,782,4,2013-09-19,472,True,False,0,False,4660.453
12,897,7,2014-04-20,0,False,False,0,False,0.0
13,933,1,2013-12-09,965,True,False,0,False,7882.457
14,218,2,2015-04-07,804,True,False,0,True,5092.7446
15,554,3,2013-10-09,499,True,True,0,True,4756.9272
16,362,1,2013-08-12,1337,True,True,0,True,12583.268
17,655,3,2014-04-09,560,True,False,0,False,5540.1743
18,785,3,2014-12-31,461,True,False,0,True,4450.0024
19,690,3,2014-03-19,866,True,True,0,False,6947.6387
20,1103,7,2015-02-15,0,False,False,0,False,0.0
21,431,1,2014-06-02,1367,True,True,0,False,13353.733
22,127,2,2013-09-24,642,True,True,0,False,6731.392
23,579,5,2013-03-29,0,False,True,b,True,0.0
24,248,6,2013-08-03,1139,True,False,0,False,9251.918
25,962,6,2014-01-11,0,False,False,0,False,0.0
26,224,2,2013-03-26,515,True,True,0,True,7071.0312
27,208,3,2013-06-19,355,True,True,0,True,4102.186
28,401,1,2015-03-30,1063,True,True,0,False,10470.3
29,503,7,2013-09-29,0,False,False,0,False,0.0
30,221,4,2015-03-05,562,True,True,0,False,6207.8457
31,268,7,2014-11-02,0,False,False,0,False,0.0
32,799,2,2013-08-27,927,True,True,0,True,10017.997
33,260,6,2014-10-25,894,True,False,0,False,7149.101
34,1041,2,2015-03-10,594,True,False,0,False,4786.1294
35,350,2,2013-06-18,533,True,True,0,False,7410.517
36,286,7,2015-04-05,0,False,False,0,False,0.0
37,620,2,2013-06-04,709,True,True,0,False,9344.058
38,521,1,2013-06-17,484,True,True,0,False,5490.34
39,649,4,2014-11-27,435,True,True,0,False,4442.966
40,1059,2,2015-06-02,1239,True,True,0,False,11592.425
41,486,6,2014-06-28,373,True,False,0,False,3385.9321
42,252,4,2013-10-17,642,True,False,0,False,6850.2915
43,656,3,2013-05-15,421,True,True,0,False,4437.7266
44,642,5,2014-09-12,394,True,False,0,False,3770.8975
45,655,5,2015-05-08,761,True,True,0,False,7767.0107
